Number of hit	Text ID	Context before	Query item	Context after	URL	Matchbegin corpus position	Matchend corpus position
88	nyt_eng_19940821_0003	claimed allegiance to the Egyptian Al Gama'a Al-Islamiya , or Islamic Group . Al Gama'a is Egypt 's most active	extremist	movement and is currently carrying out a violent campaign to establish an Islamic state . Egyptian officials say that about	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=87	19527272	19527272
89	nyt_eng_19940821_0003	they forgot to mention their own JDL ? '' responded Smith , referring to the Jewish Defense League , an	extremist	group founded by the late Rabbi Meir Kahane . Indeed , Briskman said , the Anti-Defamantion League has issued four	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=88	20367468	20367468
90	nyt_eng_19940821_0003	much . I have never seen anyone as committed as Goldstein . '' Baruch Marzel , an activist with the	extremist	Kach movement , says that in Kiryat Arba , all see Goldstein as a righteous man . Those who disagree	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=89	20397649	20397649
91	nyt_eng_19940821_0003	under a `` false flag , '' duping both his associates and his victims by passing himself off as Islamic	extremist	when he was in fact working for the Iraqis . Or vice versa . Yousef may , on the other	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=90	20931076	20931076
92	nyt_eng_19940821_0003	only-begotten Gingrich '' -- Oliphant seemed to forget for a moment that he was being interviewed . Controversial personalities and	extremist	viewpoints are the octane in the political cartoonist 's tank . `` The Carter years were not much fun ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=91	21172088	21172088
93	nyt_eng_19940821_0003	Chernomyrdin , never elected to anything , may benefit even from those who liked Vladimir V. Zhirinovsky , the nationalist	extremist	, but found his promises as empty as everyone else 's . The democrats , like Grigory A. Yavlinksy and	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=92	21580904	21580904
94	nyt_eng_19940821_0003	Chernomyrdin , never elected to anything , may benefit even from those who liked Vladimir V. Zhirinovsky , the nationalist	extremist	, but found his promises as empty as everyone else 's . The democrats , like Grigory A. Yavlinksy and	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=93	21886367	21886367
95	nyt_eng_19940821_0003	quick death for the fledgling state . Moderate government leaders like David Ben-Gurion shared their fears . But it was	extremist	Lehi -LRB- the Hebrew acronym stands for Fighters for the Freedom of Israel -RRB- that acted . And when its	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=94	22243802	22243802
96	nyt_eng_19940821_0003	can see for themselves what it contains , rather than being swayed by the characterizations of their political leaders .	Extremist	leaders in Northern Ireland , unless they learn to change quickly , may soon find themselves obsolete . If they	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=95	22670413	22670413
97	nyt_eng_19940821_0003	and dedicated physician , has entered the land of political distortion . '' Podesta described Bauer as `` an anti-abortion	extremist	committed to stopping this nomination . '' The Tuskegee experiment , or as it was formally known , `` The	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=96	23373431	23373431
98	nyt_eng_19940821_0003	Islamic government after Iran , Sudan has vowed to spread its Iran-inspired vision throughout the Horn of Africa . Its	extremist	stature has grown since a 1989 military coup formed an Islamic government , which allegedly has allowed the Iranian Revolutionary	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=97	23811957	23811957
99	nyt_eng_19940821_0003	and for Irving Kristol at The National Interest . In his New York Review piece , Lind shows just how	extremist	Mr. Robertson is by detailing how his 1991 best-seller , `` The New World Order , '' trafficks in a	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=98	24217733	24217733
100	nyt_eng_19940821_0003	`` The amendment is about denying poor victims an abortion in certain instances . It is draconian and it is	extremist	. '' Istook and his fellow Republicans argued that their intent was not to open an attack on abortion rights	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=99	24560428	24560428
101	nyt_eng_19940821_0003	it with a consumption tax , a flat tax or some form of sales tax . Fortunately , the less	extremist	Senate is neither sold on massive tax cuts that will make it tougher to reduce the federal deficit ; nor	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=100	25654588	25654588
102	nyt_eng_19940821_0003	were `` God-awful . '' Representative Tim Johnson , Democrat of South Dakota , called it `` radical , right-wing	extremist	'' legislation that punished children . Rep. E. -LRB- Kika -RRB- de la Garza of Texas , the ranking Democrat	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=101	25712609	25712609
103	nyt_eng_19940821_0003	to have been from a radical sect of Sunni Muslims , have indicated a growing role in the violence for	extremist	Muslim groups . The power of these groups has grown rapidly in recent years , partly because of the influence	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=102	25845376	25845376
104	nyt_eng_19940821_0003	. Major political parties , including Ms. Bhutto 's Pakistan People 's Party , have been reluctant to confront the	extremist	sects , fearing the power of the groups to stir mass feelings in a country where more than 60 percent	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=103	25845430	25845430
105	nyt_eng_19940821_0003	-RRB- President Clinton has begun to play aggressive defense against the Republicans by attacking many of their proposals as ``	extremist	, '' believing that the GOP is on the verge of overplaying its hand on a number of sensitive issues	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=104	26634217	26634217
106	nyt_eng_19940821_0003	. President Clinton has begun to play aggressive defense against the Republicans by attacking many of their proposals as ``	extremist	, '' believing that the GOP is on the verge of overplaying its hand on a number of sensitive issues	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=105	26635795	26635795
107	nyt_eng_19940821_0003	Vice President Al Gore , briefing reporters before the president outlined the new policies , called those Republican proposals ``	extremist	and completely unacceptable . '' But Sen. Robert Dole of Kansas , the majority leader , said the changes the	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=106	28218256	28218256
108	nyt_eng_19940821_0003	bombing , and possibly to other terror attacks against U.S. targets , could lie in the murky world of Muslim	extremist	groups in Peshawar , capital of Pakistan 's Northwest Frontier Province . The frontier city sprang to world attention a	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=107	28227636	28227636
109	nyt_eng_19940821_0003	bombing , and possibly to other terror attacks against U.S. targets , could lie in the murky world of Muslim	extremist	groups in Peshawar , capital of Pakistan 's Northwest Frontier Province . The frontier city sprang to world attention a	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=108	28236528	28236528
110	nyt_eng_19940821_0003	-- Libya included -- fits that description more closely than Iran . In both its support of terrorism and of	extremist	groups in Southern Lebanon that engage in guerrilla warfare against Israel as well as its pursuit of weapons of mass	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=109	28443978	28443978
111	nyt_eng_19940821_0003	. Israel 's erratic domestic politics and growing disillusionment with the peace process -- particularly the stalled Israeli-PLO pact and	extremist	Palestinian violence against Israelis -- has prompted Rabin 's steady slide in opinion polls over the past six months .	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=110	28811751	28811751
112	nyt_eng_19940821_0003	The first lady declined to put any specific Republican , including House Speaker Newt Gingrich of Georgia , in the	extremist	category . `` I 'm not going to put names on it , '' she said . Mrs. Clinton ,	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=111	28862466	28862466
113	nyt_eng_19940821_0003	involvement in the gas attack . Instead , speculation focused on the possibility of sabotage by a religious or political	extremist	organization . A religious cult -- Aum Shinri Kyo -- has accused a company of spreading sarin in its facilities	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=112	29240334	29240334
114	nyt_eng_19940821_0003	written extensively on cults and is a senior analyst for Political Research Associates in Cambridge , Mass. , which studies	extremist	and authoritarian movements , said that Perente-Ramos ' followers had been `` mesmerized into believing they are the true underground	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=113	29270267	29270267
115	nyt_eng_19940821_0003	involvement in the gas attack . Instead , speculation focused on the possibility of sabotage by a religious or political	extremist	organization . A religious cult -- Aum Shinri Kyo -- has accused a company of spreading sarin in its installations	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=114	29311798	29311798
116	nyt_eng_19940821_0003	of the Harvey Milk murder -LRB- a gay county supervisor in San Francisco who was killed in 1978 by an	extremist	-RRB- . We use current and historical cases in a sense that they are n't really explored by other shows	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=115	29461152	29461152
117	nyt_eng_19940821_0003	'' Borland general counsel Robert Kohn called Lotus ' move `` strange . '' He said that Lotus ' ``	extremist	'' position on copyright protection would work against Lotus ' own purposes because it would make it difficult to create	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=116	30117422	30117422
118	nyt_eng_19940821_0003	when Bob Dole looks like a palatable choice . Maybe the Republicans are playing good-GOP , bad-GOP . Dangle an	extremist	in front of the electorate , and those who once seemed unspeakable begin to look like moderates . In lieu	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=117	30205161	30205161
119	nyt_eng_19940821_0003	more likely belongs to the GOP reaction this summer to Bob Dole 's unenviable task of re-shaping the poor and	extremist	work product of Newt Gingrich 's robotic House . If that reaction is favorable -LRB- Phil Gramm has other ideas	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=118	30263787	30263787
120	nyt_eng_19940821_0003	more likely belongs to the GOP reaction this summer to Bob Dole 's unenviable task of re-shaping the poor and	extremist	work product of Newt Gingrich 's robotic House . If that reaction is favorable -LRB- Phil Gramm has other ideas	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=119	30267788	30267788
121	nyt_eng_19940821_0003	fatal nerve gas attack on the Tokyo subway system this week is a potent addition to the ranks of international	extremist	groups , with adherents capable of everything from random murder to mass suicide , according to police , scholars and	https://cqp.compling.cornell.edu/CQPweb-3.2-latest/nyt0000/context.php?qname=gugrlwk6aby&batch=120	30328545	30328545
